date,description,cost,notes
2026-07-18,Bar,44.45,
2026-07-18,Bar,20.32,
2026-07-18,Bar,39.37,
2026-07-18,Lyft,7.20,
2026-07-19,Sky,12.00,
2026-07-24,Bar,15.65,
2026-07-25,Happy Hour,14.08,
2026-07-25,Liquor Store,20.30,
2026-07-25,Lyft,17.00,
2026-07-25,Lyft,6.36,
2026-07-25,Uber,20.53,
2026-07-25,Club,62.73,
2026-07-25,Club,200,
2026-07-25,Club,53.98,
2026-07-28,Sky,12.00,
2026-08-01,Sky,14.00,
